City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,Latitude,Longitude
FLINT,MI,22.4,24.8,34.1,46.4,56.9,66.5,70.5,68.8,61.1,49.5,38.9,27.4,47.3,43.012527,-83.687456
GRAND RAPIDS,MI,24.4,26.8,35.6,48,58.7,68.4,72.5,70.8,62.8,51,40.1,29.2,49,42.96336,-85.668086
HOUGHTON LAKE,MI,18.1,20,29.1,42.6,53.9,62.9,67.1,65,57.2,45.8,34.9,23.9,43.4,44.314739,-84.76475
LANSING,MI,23.4,25.9,35.1,47.4,57.7,67.6,71.5,69.8,61.9,50.3,39.6,28.3,48.2,42.732535,-84.555535
MARQUETTE,MI,18.8,20.7,29,40.1,51,59.9,66.6,66.6,59.4,47.3,34.8,23.5,43.1,46.547583,-87.395595
MUSKEGON,MI,25.4,27.1,35,46.6,56.9,66.3,71.1,69.9,62.1,50.7,40.2,30.2,48.5,43.234181,-86.248392
SAULT STE. MARIE,MI,15.3,17.6,26.3,40.2,51.8,60,65.3,64.6,57.1,45.6,34.1,22.2,41.7,46.4953,-84.345317
DULUTH,MN,10.2,15.1,25.9,39.6,51.4,60.1,65.8,64.3,55.6,43.2,28.8,14.8,39.6,46.786672,-92.100485
INTERNATIONAL FALLS,MN,4.4,10.3,23.6,39.3,51.8,60.8,65.2,63.3,53.6,41.1,25.5,9.7,37.4,48.602315,-93.404068
MINNEAPOLIS,MN,15.6,20.8,32.8,47.5,59.1,68.8,73.8,71.2,62,48.9,33.7,19.7,46.2,44.977753,-93.265011
ROCHESTER,MN,15.7,20.3,32.4,46.7,58.1,67.6,71.4,69.1,60.9,48.4,33.8,19.7,45.3,44.012122,-92.480199
SAINT CLOUD,MN,11.6,17,29.4,44.5,56.5,65.6,70.3,67.8,58.6,45.7,30.4,15.9,42.8,45.557945,-94.16324
JACKSON,MS,46.6,50.6,57.6,64.9,72.9,79.3,81.9,81.7,76.3,66.2,56.3,48.7,65.3,32.298757,-90.18481
MERIDIAN,MS,44.8,48.7,55.6,62.7,70.8,77.6,80.6,80.3,74.8,64.1,54.7,47.2,63.5,32.36431,-88.703656
TUPELO,MS,41.7,45.9,54,62.1,70.7,78.1,81.4,80.8,74.1,63,52.9,44.1,62.4,34.257607,-88.703386
COLUMBIA,MO,29.7,34.4,44.6,55,64,72.9,77.3,76.2,67.6,56,44.4,32.4,54.5,38.951705,-92.334072
KANSAS CITY,MO,31,35.5,46,56.6,66.5,75.8,81,79.4,70.2,58.3,45.4,33.7,56.6,39.099727,-94.578567
ST. LOUIS,MO,31.8,36.3,46.3,57.3,66.8,75.9,80,78.6,70.4,58.7,46.8,34.7,57,38.627003,-90.199404
SPRINGFIELD,MO,32.6,37.2,46.3,55.8,64.8,73.4,78.2,77.8,69,57.8,46.1,35,56.2,37.208957,-93.292299
BILLINGS,MT,27.1,30.4,37.7,46.2,55.6,64.7,72.8,71.5,60.3,48.2,35.8,26.5,48.1,45.783286,-108.50069
GLASGOW,MT,13.8,19.2,31.7,44.9,55.1,64,71.1,70.2,58.2,44.7,29.3,16.3,43.2,48.196964,-106.636713
GREAT FALLS,MT,25.2,27.3,34.2,43.1,51.7,59.7,67.4,66.3,56.1,45.2,33.4,24.8,44.5,47.494184,-111.283345
HAVRE,TX,18,22.2,32.8,44.4,54,62.2,69.2,68,56.5,44.3,30.2,19.1,43.4,30.267399,-97.795411
HELENA,MT,23.1,27.7,36.3,44.9,54,62.1,70,68.3,57.8,45.6,32.5,21.8,45.3,46.588371,-112.024505
KALISPELL,MT,23.8,27.1,35.4,43.6,51.8,58.3,64.7,63.9,54.2,42.1,31.8,22.7,43.3,48.191989,-114.316813
MISSOULA,MT,25.8,30,38.8,45.7,53.5,60.9,68.6,67.5,57.4,45.1,33.2,23.9,45.9,46.878718,-113.996586
GRAND ISLAND,NE,25.1,29.1,39.4,50.6,61.2,71.3,76.2,74,65.1,52.2,38.1,26.7,50.8,40.926396,-98.342012
LINCOLN,NE,24.7,28.8,39.6,50.8,61.6,71.1,76.1,74.1,65.7,52.9,38.9,27,50.9,40.825763,-96.685198
NORFOLK,NE,22.6,26.8,37.4,49.6,60.5,70.2,75,72.8,63.8,51,36.4,24.3,49.2,42.032723,-97.413755
NORTH PLATTE,NE,25,29,38,47.6,57.9,67.9,74.3,72.1,62.3,49.1,35.6,25.4,48.7,41.140276,-100.760145
OMAHA,NE,22.4,26.5,37.9,50,60.9,70.2,74.9,72.7,64.2,52.1,37.8,24.7,49.5,41.252363,-95.997988
SCOTTSBLUFF,NE,27.2,30.4,38.2,46.7,57.3,67.2,74.1,71.9,61.7,48.5,35.8,26.1,48.8,41.866634,-103.667166
VALENTINE,NE,23.6,27.2,36.2,46.7,57.6,67.5,74.5,72.8,62.3,48.5,34.4,23.8,47.9,42.872783,-100.550967
ELKO,NV,25.1,29.9,38.9,45.2,53.4,62.2,70.2,68.2,58.8,46.6,34.7,26,46.6,40.832421,-115.763123
ELY,NV,25.3,29,36.3,42.5,50.7,60,67.8,66.1,56.8,45.3,33.7,25.3,44.9,39.247439,-114.88863
LAS VEGAS,NV,48,52.4,58.8,66.4,76,85.1,91.3,89.2,81.1,68.6,56.3,46.7,68.3,36.169941,-115.13983
RENO,NV,35.6,39.9,45.7,50.9,59.5,67.7,74.9,73.2,65.2,54,42.7,35.3,53.7,39.529633,-119.813803
WINNEMUCCA,NV,30.1,35.2,41.1,46.6,55.1,64.2,72.5,70,60.3,48.2,36.9,29.4,49.1,40.972958,-117.735685
CONCORD,NH,20.6,24.3,33.1,45.1,55.8,64.9,70,68.5,60,48.2,38.3,26.8,46.3,43.208137,-71.537572
MT. WASHINGTON,NH,4.7,6.1,12.8,23.9,35.5,45,49.1,48.1,41.6,30.2,20.7,10.1,27.3,44.270585,-71.303272
ATLANTIC CITY,NJ,33,35.3,42.2,51.7,61.1,70.9,76.2,74.4,67.2,56.1,46.8,37.2,54.3,39.364283,-74.422927
NEWARK,NJ,31.6,34.6,42.1,52.8,62.7,72.4,77.4,75.8,68.2,56.6,46.8,36.5,54.8,40.735657,-74.172367
ALBUQUERQUE,NM,36.4,41.4,48.1,56,65.6,74.9,78.3,76.2,69.3,57.5,44.9,36.3,57.1,35.085334,-106.605553
CLAYTON,NM,35.4,37.5,44.2,52.4,61.5,70.4,74.7,73.3,65.8,54.8,43.6,34.8,54,36.451693,-103.184104
ROSWELL,NM,40.6,45.7,52.6,60.8,70.1,78.2,80.3,78.7,72,61.1,49.3,40.4,60.8,33.394266,-104.523024
ALBANY,NY,22.6,25.9,35,47.8,58.3,67.2,71.8,70.1,61.9,49.7,39.7,28.5,48.2,42.652579,-73.756232
BINGHAMTON,NY,22.2,24.7,32.8,45.1,55.8,64.4,68.7,67.4,59.6,48.5,38.3,27.3,46.2,42.098687,-75.917974
BUFFALO,NY,24.9,26.3,34,45.9,56.9,66.3,71.1,69.6,62.2,50.8,40.7,30.1,48.2,42.886447,-78.878369
ISLIP,NY,30.6,32.8,39.3,49.1,58.6,68.4,73.9,72.8,65.6,54.3,45.1,35.6,52.2,40.729821,-73.210393
NEW YORK,NY,32.6,35.3,42.5,53,62.4,71.4,76.5,75.2,68,56.9,47.7,37.5,54.9,40.712775,-74.005973
ROCHESTER,NY,24.7,26.4,34.3,46.3,57,66.2,70.8,69.3,61.8,50.6,40.5,30,48.2,43.16103,-77.610922
SYRACUSE,NY,23.6,25.9,34.2,46.9,57.6,66.7,71.3,69.8,62,50.6,40.6,29.4,48.2,43.048122,-76.147424
ASHEVILLE,NC,35.2,38.5,45,53.4,61.3,67.9,71.4,70.4,64.2,54.4,45.4,37,53.7,35.595058,-82.551487
CAPE HATTERAS,NC,45.5,46.8,51.6,59.5,67.1,75.1,79.1,78.5,74.5,65.8,57.6,49.3,62.5,35.24804,-75.539315
CHARLOTTE,NC,40.1,43.9,51.2,59.4,67.4,75.3,78.5,77.3,70.8,60.3,50.8,42.4,59.8,35.227087,-80.843127
GREENSBORO,NC,38.9,42.4,50,58.8,66.8,75.1,78.5,77.1,70.2,59.5,50.2,41.3,59.1,36.072635,-79.791975
RALEIGH,NC,41,44.5,51.6,60.2,68,76.4,80,78.5,71.9,61.2,52.2,43.5,60.8,35.77959,-78.638179
WILMINGTON,NC,46,48.9,55.1,62.9,70.4,77.8,81.1,79.7,74.6,65.2,56.7,48.6,63.9,34.225726,-77.94471
BISMARCK,ND,12.8,18.1,29.9,43.8,55.5,64.7,71.1,69.5,58.5,44.8,29.2,16.2,42.8,46.808327,-100.783739
FARGO,ND,9.3,14.6,27.8,44.2,57.1,66.2,71,69.3,59.1,45.5,28.8,14.1,42.3,46.877186,-96.789803
GRAND FORKS,ND,6.7,12,25.2,42,54.8,64,68.6,67.1,56.9,43.1,26.1,11.5,39.8,47.925257,-97.032855
WILLISTON,ND,11,16.9,29.3,43.4,54.1,63.2,70.1,68.9,56.7,43,27.1,13.9,41.5,48.146968,-103.617974
AKRON,OH,26.1,29,37.6,49.2,58.9,67.9,72,70.5,63.1,51.7,41.5,30.4,49.8,41.081445,-81.519005
CLEVELAND,OH,28.1,30.5,38.4,49.8,59.8,69.2,73.5,72,65,53.8,43.9,32.4,51.4,41.49932,-81.694361
COLUMBUS,OH,29.6,32.8,41.9,53.1,62.5,71.5,75.2,73.9,66.8,55,44.4,33.5,53.4,39.961176,-82.998794
DAYTON,OH,27.5,31,40.4,51.6,61.4,70.6,74.1,72.7,65.4,53.9,42.8,31.2,51.9,39.758948,-84.191607
MANSFIELD,OH,25.5,28.4,37.1,48.8,58.7,67.7,71.5,70,63,51.7,41.3,29.7,49.5,40.75839,-82.515447
TOLEDO,OH,25.5,28.3,37.6,49.4,59.8,69.5,73.5,71.5,64.1,52.3,41.4,29.7,50.2,41.663938,-83.555212
YOUNGSTOWN,OH,25.8,28.4,36.7,48.5,57.8,66.4,70.5,69.1,61.9,51,41.4,30.3,49,41.09978,-80.649519
OKLAHOMA CITY,OK,39.2,43.7,52.2,61,69.9,78,83,82.4,73.9,62.5,50.7,40.6,61.4,35.46756,-97.516428
TULSA,OK,37,41.8,50.6,59.8,68.5,76.9,81.8,81.7,72.9,61.1,49.7,38.6,60,36.153982,-95.992775
ASTORIA,OR,43.8,44.4,46.4,48.7,53,57,60.3,60.9,58.5,52.6,46.8,42.7,51.3,46.187884,-123.831253
BURNS,OR,24.8,28.8,37.3,43.2,51.2,58.4,66.6,64.8,55.9,44.7,33.3,24.2,44.4,43.586261,-119.054103
EUGENE,OR,40.7,42.9,46.7,50.2,55.3,60.4,66.8,66.9,61.9,52.7,44.9,39.7,52.4,44.052069,-123.086754
MEDFORD,OR,40.3,44.2,48.3,52.8,59.8,66.8,74.1,73.7,66.8,56,44.7,39.3,55.6,42.326515,-122.875595
PENDLETON,OR,35.3,38.5,45.1,50.7,57.8,64.9,72.6,71.8,63.4,51.9,41.3,33.2,52.2,45.672075,-118.788597
PORTLAND,OR,41.4,43.8,48.2,52.3,58.3,63.6,69.2,69.5,64.5,54.9,46.6,40.4,54.4,45.523062,-122.676482
SALEM,OR,41.2,43.1,46.9,50.4,56.2,61.6,67.6,67.6,62.6,53.2,45.5,40.1,53,44.942898,-123.035096
SEXTON SUMMIT,OR,37.8,38.5,39.7,43.7,50.2,56.4,63.8,64.5,59.8,50.6,40.8,37,48.6,42.601229,-123.383119
ALLENTOWN,PA,27.8,30.7,39.1,49.9,59.9,69.1,73.4,71.7,63.9,52.5,42.7,32.3,51.1,40.608431,-75.490183
